====== Exif Identifiers ======

^Exif Identifier^Type^Description^
 | exif_linear_response_limit | TEXT | exif tag Linear Response Limit |
 | exif_linearization_table | TEXT | exif tag Linearization Table |
 | exif_localized_camera_model | TEXT | exif tag Localized Camera Model |
 | exif_make | TEXT | exif tag Make |
 | exif_maker_note | TEXT | exif tag Maker Note |
 | exif_maker_note_safety | TEXT | exif tag Maker Note Safety |
 | exif_masked_areas | TEXT | exif tag Masked Areas |
 | exif_matteing | TEXT | exif tag Matteing |
 | exif_max_aperture_value | TEXT | exif tag Max Aperture Value |
 | exif_max_sample_value | TEXT | exif tag Max Sample Value |
 | exif_mdcolor_table | TEXT | exif tag MDColor Table |
 | exif_mdfile_tag | TEXT | exif tag MDFile Tag |
 | exif_mdfile_units | TEXT | exif tag MDFile Units |
 | exif_mdlab_name | TEXT | exif tag MDLab Name |
 | exif_mdprep_date | TEXT | exif tag MDPrep Date |
 | exif_mdprep_time | TEXT | exif tag MDPrep Time |
 | exif_mdsample_info | TEXT | exif tag MDSample Info |
 | exif_mdscale_pixel | TEXT | exif tag MDScale Pixel |
 | exif_metering_mode | TEXT | exif tag Metering Mode |
 | exif_min_sample_value | TEXT | exif tag Min Sample Value |
 | exif_mode_number | TEXT | exif tag Mode Number |
 | exif_model | TEXT | exif tag Model |
 | exif_model_2 | TEXT | exif tag Model 2 |
 | exif_model_tie_point | TEXT | exif tag Model Tie Point |
 | exif_model_transform | TEXT | exif tag Model Transform |
 | exif_modify_date | TEXT | exif tag Modify Date |
 | exif_moire_filter | TEXT | exif tag Moire Filter |
 | exif_noise | TEXT | exif tag Noise |
 | exif_numberof_inks | TEXT | exif tag Numberof Inks |
 | exif_oce_application_selector | TEXT | exif tag Oce Application Selector |
 | exif_oce_idnumber | TEXT | exif tag Oce IDNumber |
 | exif_oce_image_logic | TEXT | exif tag Oce Image Logic |
 | exif_oce_scanjob_desc | TEXT | exif tag Oce Scanjob Desc |
 | exif_offset_schema | TEXT | exif tag Offset Schema |
 | exif_old_subfile_type | TEXT | exif tag Old Subfile Type |
 | exif_opiproxy | TEXT | exif tag OPIProxy |
